product_id,product_name,category,units_sold,orders,gross_item_revenue,net_revenue,discount_amount,cogs,refunds,refund_orders,ad_attributed_revenue,gross_margin,gross_margin_pct,discount_rate,refund_rate,contribution_profit,contribution_margin_pct,aov
SKU003,Vitamin C Brightening Serum,Serums,3102.0,2107.0,148896.0,157370.94,6582.34,37224.0,8249.09,133.0,66407.96,111672.0,0.75,0.044207634859230606,0.055401689770040834,111897.85,0.7110451904271526,74.68957759848125
SKU011,The Essentials Bundle,Bundles & Sets,1358.0,901.0,133084.0,131921.47999999998,5432.380000000001,51604.0,9922.55,81.0,56854.61,81480.0,0.6122448979591837,0.04081918187009709,0.0745585494875417,70394.92999999998,0.5336123427359971,146.4167369589345
SKU004,Retinol Renewal Serum,Serums,2102.0,1423.0,117712.0,123428.61,4993.43,32959.36,10909.779999999999,145.0,55084.14,84752.64,0.72,0.04242073875220878,0.09268196955280684,79559.47,0.644578837920965,86.73830639494027
SKU005,Hyaluronic Moisture Serum,Serums,2493.0,1691.0,104706.0,111937.62,4746.77,26176.5,6401.17,106.0,48155.26,78529.5,0.75,0.045334269287337886,0.061134700972246096,79359.95,0.7089658508015446,66.19610881135422
SKU012,Glow Ritual Bundle (5-Piece),Bundles & Sets,711.0,479.0,103095.0,101692.13999999998,4224.08,43371.0,8571.02,45.0,44011.17999999999,59724.0,0.5793103448275863,0.04097269508705563,0.08313710655220913,49750.11999999998,0.4892228642252979,212.30091858037576
SKU006,Daily Barrier Moisturizer,Moisturizers,2292.0,1551.0,87096.0,94508.6,3671.96,26128.800000000007,5083.59,98.0,41767.01,60967.2,0.7,0.042159915495545146,0.05836766326811794,63296.21000000001,0.6697402141180803,60.93397807865893
SKU001,Gentle Hydra Cleanser,Cleansers,2877.0,1943.0,69048.0,81600.65000000001,2948.19,20714.4,5761.13,138.0,33973.98,48333.6,0.7,0.042697688564476886,0.08343659483258023,55125.12000000001,0.6755475599765444,41.99724652599074
SKU007,Overnight Repair Cream,Moisturizers,1335.0,909.0,69420.0,73096.31000000001,3055.99,22214.399999999998,3715.7400000000007,53.0,31338.36,47205.600000000006,0.68,0.04402175165658311,0.05352549697493519,47166.17000000002,0.6452606157547489,80.41398239823984
SKU008,Mineral Sunscreen SPF 40,Sunscreen,2028.0,1376.0,64896.0,73074.66,2779.7200000000003,19468.799999999996,4360.68,90.0,31512.05,45427.200000000004,0.7000000000000001,0.042833456607495074,0.06719489644970415,49245.18000000001,0.673902280215878,53.10658430232559
SKU002,Clarify Foaming Cleanser,Cleansers,1880.0,1254.0,41360.0,49601.619999999995,1742.44,12407.999999999998,2485.1400000000003,70.0,20073.280000000002,28952.0,0.7,0.04212862669245648,0.06008558994197293,34708.479999999996,0.6997448873645659,39.55472089314194
SKU010,Clay Detox Mask,Masks,1294.0,888.0,36232.0,41627.630000000005,1628.29,10869.600000000002,2927.7,66.0,17785.91,25362.399999999998,0.7,0.04494066018988739,0.08080426142636343,27830.33,0.6685542751292831,46.87796171171172
SKU009,Bright Eyes Depuffing Cream,Eye Care,1082.0,733.0,36788.0,40879.759999999995,1669.12,11772.16,2409.89,48.0,17791.62,25015.84,0.68,0.04537131673371751,0.06550750244644993,26697.709999999995,0.6530789319702464,55.77047748976807
